site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,80,20T 0455132 UTM 4941576,6,11:25,"B_080,Bd_080",0,NA,A,M,8,228,290,2,"C315,C316",live,NA,"Found with 80 and 81,black spots down middle of belly"
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,81,20T 0455132 UTM 4941576,6,12:05,"B_081,Bd_081",0,NA,A,F,10,237,305,2,"C317,C318",live,NA,"Escaped initial capture,caught later unde same rokc it was originally under"
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Maritime Garter,82,19T 0676102 UTM 5079943,NA,05:45,"B_082,Bd_082",0,NA,A,F,60,420,535,2,"C322,C323",live,NA,NA
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Maritime Garter,83,19T 0676102 UTM 5079943,NA,05:50,"B_083,Bd_083",0,NA,A,M,44,405,520,3,"C321,C324,C325",live,NA,"Injury on dorsal side of cloacea(healted),FOUND IN WOODPILE"
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,84,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C484,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,85,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C485,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,86,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C486,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,87,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C487,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,88,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C488,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,89,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C489,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Unkown,90,19T 0676102 UTM 5079943,NA,05:45,NA,NA,NA,NA,NA,NA,NA,NA,1,C490,skin,NA,Snake skin found in woodpile
Fredericton snake site,2022-08-23,19T 0676102 UTM 5079943,NA,Cloudy and Rainy,3,"IA,AM,GF",18,18,04:03,06:03,Smooth Greensnake,91,19T 0679206 UTM 4968839,NA,NA,"B_091,Bd_091",NA,NA,N,NA,NA,NA,NA,1,C496,frozen,NA,Found dead in pond by homeowner
Sacville mountview Road,2022-08-24,20T 0393504 UTM 5089241,3,Clear sky,2,"JBG,JLR",NA,NA,NA,NA,Maritime Gater,92,20T 0393504 UTM 5089241,3,06:00,"B_092,Bd_092",0,NA,A,F,40,397,513,2,"C319,C320",live,NA,Caught on road mountviw road @6:00
Rockwood Park,2022-09-02,19T 0729883 UTM 5022518,5,Sunny,2,"IA,SA",16,19,10:30,11:50,Maritime Gater,93,19T 0729883 UTM 5022518,5,11:17,"B_093,Bd_093",0,NA,A,F,39,398,535,4,C480-C483,live,NA,Found on manmade rock near lake
Intersection of walker rd and stanly drive,2022-09-04,20T 0391636 UTM 5087748,NA,NA,1,"JLR,JAB,IA",NA,NA,NA,NA,Maritime Gater,94,20T 0391636 UTM 5087748,NA,NA,"B_094,Bd,094",NA,NA,J,NA,NA,NA,NA,1,C497,frozen,NA,NA
Powerlines Riverview,2022-09-08,20T 0359874 UTM 5099469,3,Clear,2,"IA,SA",22,18,06:37,07:44,Maritime Garter,95,20T 0359879 UTM 5099932,NA,06:37,"B_095,BD_095",0,NA,N,NA,2,,,2,"C465,C466",live,NA,Same locstion as large snake and 2 red bellied snake rock
